0,0,178,"",09:00:00,21:00:00,37.413638,55.796628,09:00:00,09:00:00,09:15:00
0,1,178,"",09:00:00,21:00:00,37.413638,55.796628,09:15:00,09:15:00,09:30:00
0,2,216,"",09:00:00,21:00:00,37.71083,55.892747,10:40:57,10:40:57,10:55:57
0,3,200,"",09:00:00,21:00:00,37.733796,55.560374,13:02:09,13:02:09,13:17:09
0,4,163,"",09:00:00,21:00:00,37.788296,55.613937,14:03:42,14:03:42,14:18:42
0,5,261,"",09:00:00,21:00:00,37.731081,55.720811,15:06:06,15:06:06,15:21:06
0,6,103,"",09:00:00,21:00:00,37.574566,55.783587,16:13:54,16:13:54,16:28:54
0,7,450,"",09:00:00,21:00:00,37.453277,55.816001,17:06:18,17:06:18,17:21:18
0,8,193,"",09:00:00,21:00:00,37.508496,55.817018,17:48:30,17:48:30,18:03:30
0,9,483,"",09:00:00,21:00:00,37.832376,55.762312,19:23:06,19:23:06,19:38:06
0,10,115,"",09:00:00,21:00:00,37.86428,55.827476,20:19:06,20:19:06,20:34:06
1,0,333,"",09:00:00,21:00:00,37.738933,55.825327,09:00:00,09:00:00,09:15:00
1,1,159,"",09:00:00,21:00:00,37.434868,55.590136,11:29:30,11:29:30,11:44:30
1,2,107,"",09:00:00,21:00:00,37.806943,55.772965,13:54:12,13:54:12,14:09:12
1,3,145,"",09:00:00,21:00:00,37.795985,55.72524,14:53:36,14:53:36,15:08:36
1,4,108,"",09:00:00,21:00:00,37.682746,55.747194,15:44:39,15:44:39,15:59:39
1,5,176,"",09:00:00,21:00:00,37.780303,55.754655,16:23:30,16:23:30,16:38:30
1,6,190,"",09:00:00,21:00:00,37.716247,55.571428,18:08:09,18:08:09,18:23:09
1,7,120,"",09:00:00,21:00:00,37.776091,55.668004,19:31:51,19:31:51,19:46:51
1,8,170,"",09:00:00,21:00:00,37.711343,55.78011,20:49:45,20:49:45,21:04:45
2,0,225,"",09:00:00,21:00:00,37.518643,55.858723,09:00:00,09:00:00,09:15:00
2,1,66,"",09:00:00,21:00:00,37.512734,55.665177,10:42:15,10:42:15,10:57:15
2,2,182,"",09:00:00,21:00:00,37.547522,55.743287,11:40:48,11:40:48,11:55:48
2,3,440,"",09:00:00,21:00:00,37.467884,55.694019,12:29:45,12:29:45,12:44:45
2,4,460,"",09:00:00,21:00:00,37.64992,55.603007,13:56:09,13:56:09,14:11:09
2,5,479,"",09:00:00,21:00:00,37.56547,55.596024,15:17:21,15:17:21,15:32:21
2,6,214,"",09:00:00,21:00:00,37.725476,55.91617,17:57:54,17:57:54,18:12:54
2,7,426,"",09:00:00,21:00:00,37.470683,55.8044,19:35:57,19:35:57,19:50:57
2,8,363,"",09:00:00,21:00:00,37.466747,55.798287,19:55:39,19:55:39,20:10:39
2,9,105,"",09:00:00,21:00:00,37.50241,55.857582,20:50:36,20:50:36,21:05:36
3,0,76,"",09:00:00,21:00:00,37.454603,55.601971,09:00:00,09:00:00,09:15:00
3,1,165,"",09:00:00,21:00:00,37.402976,55.672847,09:58:24,09:58:24,10:13:24
3,2,301,"",09:00:00,21:00:00,37.482177,55.839112,11:33:06,11:33:06,11:48:06
3,3,373,"",09:00:00,21:00:00,37.456237,55.742617,12:32:57,12:32:57,12:47:57
3,4,342,"",09:00:00,21:00:00,37.500908,55.726325,13:45:27,13:45:27,14:00:27
3,5,306,"",09:00:00,21:00:00,37.767224,55.711121,15:12:12,15:12:12,15:27:12
3,6,419,"",09:00:00,21:00:00,37.753011,55.691523,15:36:36,15:36:36,15:51:36
3,7,352,"",09:00:00,21:00:00,37.682945,55.77863,16:37:36,16:37:36,16:52:36
3,8,199,"",09:00:00,21:00:00,37.6679,55.702981,17:26:51,17:26:51,17:41:51
3,9,328,"",09:00:00,21:00:00,37.626589,55.65924,18:08:21,18:08:21,18:23:21
3,10,299,"",09:00:00,21:00:00,37.656066,55.875128,19:56:12,19:56:12,20:11:12
4,0,298,"",09:00:00,21:00:00,37.438182,55.582834,09:00:00,09:00:00,09:15:00
4,1,413,"",09:00:00,21:00:00,37.517157,55.899932,11:13:18,11:13:18,11:28:18
4,2,431,"",09:00:00,21:00:00,37.587584,55.64446,13:12:36,13:12:36,13:27:36
4,3,256,"",09:00:00,21:00:00,37.606176,55.829507,14:54:45,14:54:45,15:09:45
4,4,29,"",09:00:00,21:00:00,37.805872,55.792697,16:12:00,16:12:00,16:27:00
4,5,202,"",09:00:00,21:00:00,37.461978,55.872996,17:43:51,17:43:51,17:58:51
